"Title","Explosive_List_Corrected","Year","Country"
"COMPARATIVE FUNCTIONAL STRUCTURE OF THE OLFACTORY MUCOSA IN THE DOMESTIC DOG AND SHEEP","",2010,"Kenya,Sweden"
"COMPARATIVE STUDIES OF PRESSURE SENSITIZATION OF ZIRCONIUM CARBIDE AND ZIRCONIUM SILICATE ON BURNING RATES IN A RDX AP BASED COMPOSITE PROPELLANT","Composition A;Cyclotrimethylene-Trinitramine (RDX)",2014,"India"
"COMPARATIVE STUDY OF THE DECOMPOSITION MECHANISM AND KINETICS OF BIIMIDAZOLE BASED ENERGETIC EXPLOSIVES","1,3,5-Trinitrobenzene (TNB);Cyclotrimethylene-Trinitramine (RDX);",2020,"China"
"COMPARATIVE THEORETICAL STUDIES OF ENERGETIC DODECAHYDRODIIMIDAZO 4 5 B 4 5 E PYRAZINE DERIVATIVES","Cyclotetramethylene-Tetranitramine (HMX);",2013,"China"
"COMPARATIVE TOXICOLOGICAL EVALUATION OF UV DEGRADED VERSUS PARENT INSENSITIVE MUNITION COMPOUND 1 METHYL 3 NITROGUANIDINE IN FATHEAD MINNOW","Nitroguanidine (NQ);",2020,"USA"
"COMPARING CONJUGATED POLYMER THIN FILM AND ELECTROSPUN NANOFIBER SENSING ELEMENTS FOR DETECTION OF EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);",2014,"USA"
"COMPARING SOLID PHASE EXTRACTION AND DIRECT INJECTION FOR THE ANALYSIS OF ULTRA TRACE LEVELS OF RELEVANT EXPLOSIVES IN LAKE WATER AND TRIBUTARIES USING LIQUID CHROMATOGRAPHY ELECTROSPRAY TANDEM MASS SPECTROMETRY","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);",2008,"Switzerland"
"COMPARING THE IMPACT SAFETY BETWEEN TWO HMX BASED PBX WITH DIFFERENT BINDERS SCIENCEDIRECT",";Cyclotetramethylene-Tetranitramine (HMX)",2021,NA
"COMPARISON AMONG DIFFERENT ALGORITHMS IN CLASSIFYING EXPLOSIVES USING OFETS","",2013,"India,USA"
"COMPARISON OF 1064 NM AND 266 NM EXCITATION OF LASER INDUCED PLASMAS FOR SEVERAL TYPES OF PLASTICS AND ONE EXPLOSIVE","",2008,"China,Germany"
"COMPARISON OF 3HE AND BF 3 NEUTRON DETECTORS USED TO DETECT HYDROGENOUS MATERIAL BURIED IN SOIL","",2012,"Iran"
"COMPARISON OF AN ANTIBODY AND ITS RECOMBINANT DERIVATIVE FOR THE DETECTION OF THE SMALL MOLECULE EXPLOSIVE 2 4 6 TRINITROTOLUENE","1,3,5-Trinitrobenzene (TNB);2,4,6-Trinitrotoluene (TNT)",2013,"USA"
"COMPARISON OF DD DT AND CF 252 NEUTRON EXCITATION OF LIGHT AND MEDIUM MASS NUCLEI FOR FIELD PGNAA APPLICATIONS","Poly(Glycidyl Nitrate) (polyGLYN)",2007,"USA"
"COMPARISON OF DIFFERENT SAMPLING TECHNIQUES FOR THE IDENTIFICATION OF POST BLAST RESIDUES BY LC APCI MS AND GC NCD",";Nitrocellulose (NC)",2010,NA
"COMPARISON OF FLUORESCENCE AND QCM TECHNOLOGIES EXAMPLE OF EXPLOSIVES DETECTION WITH A CONJUGATED THIN FILM","2,4-Dinitrotoluene (DNT);Dinitrotoluene (DNT);",2010,"France"
"COMPARISON OF MOLECULAR IMPRINTED PARTICLES PREPARED USING PRECIPITATION POLYMERIZATION IN WATER AND CHLOROFORM FOR FLUORESCENT DETECTION OF NITROAROMATICS","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);",2011,"USA"
"COMPARISON OF NEUTRON AND HIGH ENERGY X RAY DUAL BEAM RADIOGRAPHY FOR AIR CARGO INSPECTION","Composition C;",2008,"Australia"
"COMPARISON OF RECTANGULAR AND BISINUSOIDAL WAVEFORMS IN A MINIATURE PLANAR HIGH FIELD ASYMMETRIC WAVEFORM ION MOBILITY SPECTROMETER","",2011,"USA"
"COMPARISON OF SOLID PHASE EXTRACTION SORBENTS FOR SAMPLE CLEAN UP IN THE ANALYSIS OF ORGANIC EXPLOSIVES","",2008,"France"
"COMPARISON OF TERAHERTZ TECHNOLOGIES FOR DETECTION AND IDENTIFICATION OF EXPLOSIVES","",2014,"Germany,USA,Poland,Norway,Turkey,Slovenia"
"COMPARISON OF THE EFFICACY OF HOMEMADE AND INDUSTRIALLY MADE ANFO EXPLOSIVES AS AN IMPROVISED EXPLOSIVE DEVICE CHARGE","2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN);",2018,"Slovakia"
"COMPARISON OF VISIBLE AND NEAR INFRARED RAMAN CROSS SECTIONS OF EXPLOSIVES IN SOLUTION AND IN THE SOLID STATE","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);",2012,"USA"
"COMPARTMENTALIZING INCOMPATIBLE TANDEM REACTIONS IN PICKERING EMULSIONS TO ENABLE VISUAL COLORIMETRIC DETECTION OF NITRAMINE EXPLOSIVES USING A SMARTPHONE","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2018,"China"
"COMPATIBILITY AND THERMAL DECOMPOSITION BEHAVIOR OF AN EPOXY RESIN WITH SOME ENERGETIC COMPOUNDS","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20);",2020,"India"
"COMPATIBILITY AND THERMAL DECOMPOSITION MECHANISM OF NITROCELLULOSE CR 2 O 3 NANOPARTICLES STUDIED USING DSC AND TG FTIR","Nitrocellulose (NC)",2019,"China"
"COMPATIBILITY OF PNIMMO WITH SOME ENERGETIC MATERIALS","1,1-Diamino-2,2-Dinitroethylene (FOX-7);1,3,3-Trinitroazetidine (TNAZ);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);Dioxyethylnitramine Dinitrate (DINA);Hexanitrohexaazaisowurtzitane (CL-20);Nitrocellulose (NC);Nitroglycerin (NG);Trinitroaniline (TNA);",2012,"China"
"COMPENSATION METHOD FOR INFRARED TEMPERATURE MEASUREMENT OF EXPLOSIVE FIREBALL","Cyclotetramethylene-Tetranitramine (HMX);",2019,"China"
"COMPETITIVE AMPEROMETRIC IMMUNOSENSOR BASED ON COVALENT LINKING OF A PROTEIN CONJUGATE TO DENDRIMER FUNCTIONALISED NANOGOLD SUBSTRATE FOR THE DETERMINATION OF 2 4 6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT);Nitroglycerin (NG)",2013,"Italy"
"COMPETITIVE COORDINATION OF AZIDE GROUPS SYNTHESIS OF SOLVENT FREE AND CHLORINE FREE PRIMARY EXPLOSIVES BASED ON 3 AMINO 1 NITROGUANIDINE","1-Amino-3-Nitroguanidine (ANQ);",2021,"China"
"COMPLETE SPECTROSCOPIC PICTURE OF CONCEALED EXPLOSIVES LASER INDUCED RAMAN VERSUS INFRARED","",2016,"Egypt"
"COMPLEX MARKERS FOR A MINE DETECTOR","",2012,"Czech Republic"
"COMPLEX MICROWAVE PERMITTIVITY OF SECONDARY HIGH EXPLOSIVES","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);2,4,6-Trinitrotoluene (TNT);Composition B;Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Octol;Pentaerythritol Tetranitrate (PETN);",2014,"USA"
"COMPLEX THZ REFLECTANCE SPECTRA OF HEXOGEN MEASURED FOR VARIOUS SURFACES","Cyclotrimethylene-Trinitramine (RDX)",2012,"Poland"
"COMPOSITE BINDER PROCESSING AND PARTICLE SIZE EFFECTS ON MECHANICAL PROPERTIES OF NON HAZARDOUS HIGH EXPLOSIVE SURROGATES","Cyclotetramethylene-Tetranitramine (HMX);",2021,"USA"
"COMPOSITE PROPELLANT BASED ON A NEW NITRATE ESTER","Ammonium Perchlorate;",2014,"USA"
"COMPOSITE SINUSOIDAL NANOGRATING WITH LONG RANGE SERS EFFECT FOR LABEL FREE TNT DETECTION","2,4,6-Trinitrotoluene (TNT)",2018,"China"
"COMPOSITION AND METHODS FOR DETECTION OF EXPLOSIVES","",2012,NA
"COMPOSITION OF EXPLOSIVES BY ELECTROSPRAY IONIZATION FOURIER TRANSFORM ION CYCLOTRON RESONANCE MASS SPECTROMETRY","2,4,6-Trinitrotoluene (TNT);Composition C;Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2002,"USA"
"COMPOSITIONS AND METHODS TO DETECT ILLICIT USES OF FERTILIZERS","",2012,NA
"COMPOUND FOR DETECTING NITROAROMATICS EXPLOSIVES AND DETECTING METHOD USING THE SAME","",2011,NA
"COMPOUND SPECIFIC ISOTOPE ANALYSIS OF RDX AND STABLE ISOTOPE FRACTIONATION DURING AEROBIC AND ANAEROBIC BIODEGRADATION","Cyclotrimethylene-Trinitramine (RDX)",2008,"Israel,Germany"
"COMPREHENSIVE ASSESSMENT OF POTENTIAL THREATS TO ALL KINDS OF EVENTS ARISING FROM THE EXPLOSION OF PIPE BOMB","",2017,"Czech Republic,Slovakia"
"COMPREHENSIVE INFRARED STUDY OF TETRYL DINITROTOLUENE AND TRINITROTOLUENE COMPOUNDS","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);Tetryl",2015,NA
"COMPREHENSIVE NON TARGETED ANALYSIS OF CONTAMINATED GROUNDWATER OF A FORMER AMMUNITION DESTRUCTION SITE USING 1H NMR AND HPLC SPE NMR TOF MS","1,3,5-Trinitrobenzene (TNB);2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);",2009,"Germany,Switzerland"
"COMPREHENSIVE STUDY OF THE INTERACTION AND MECHANISM BETWEEN BISTETRAZOLE IONIC SALT AND AMMONIUM NITRATE EXPLOSIVE IN THERMAL DECOMPOSITION","5,5-Bistetrazole-1,1-Diolate (TKX-50);Ammonium Nitrate (AN);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX)",2019,"China"
"COMPREHENSIVE STUDY ON THE CATASTROPHIC EXPLOSION OF AMMONIUM NITRATE STORED IN THE WAREHOUSE OF BEIRUT PORT","2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN)",2021,"China"
"COMPRESSION AND SHEAR EXPERIMENTAL STUDY OF PBX EXPLOSIVE","",2018,"China"
"COMPRESSIVE BEHAVIOR OF IDEALIZED GRANULES FOR THE SIMULATION OF COMPOSITION C 4","Composition C",2016,"USA"
"COMPUTATIONAL ANALYSIS OF HOT SPOT FORMATION BY QUASI STEADY DEFORMATION WAVES IN POROUS EXPLOSIVE","Cyclotetramethylene-Tetranitramine (HMX);",2013,"USA"
"COMPUTATIONAL ANALYSIS OF TEMPERATURE RISES IN MICROSTRUCTURES OF HMX ESTANE PBXS","Cyclotetramethylene-Tetranitramine (HMX)",2013,"USA"
"COMPUTATIONAL INSIGHT INTO THE EXPLOSIVE DETECTION MECHANISMS IN SILAFLUORENE AND SILOLE CONTAINING PHOTOLUMINESCENT POLYMERS","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT);Picric Acid (PA);",2014,"Turkey"
"COMPUTATIONAL INVESTIGATION ON THE DESENSITIZING MECHANISM OF GRAPHITE IN EXPLOSIVES VERSUS MECHANICAL STIMULI COMPRESSION AND GLIDE","Cyclotetramethylene-Tetranitramine (HMX);",2007,"China"
"COMPUTATIONAL MODELING IN RESEARCH OF IGNITION MECHANISM OF EXPLOSIVES BY LASER RADIATION","",2017,"Ukraine"
"COMPUTATIONAL STUDIES ON NITRATOETHYLNITRAMINE NENA ITS TAUTOMERS AND CHARGED FORMS","",2009,"Turkey"
"COMPUTATIONAL STUDIES ON THE HEATS OF FORMATION ENERGETIC PROPERTIES AND THERMAL STABILITY OF ENERGETIC NITROGEN RICH FURAZANO 3 4 B PYRAZINE BASED DERIVATIVES","",2012,"China"
"COMPUTATIONAL STUDIES ON THE TRIAZOLE BASED HIGH ENERGY MATERIALS","",2012,"India"
"COMPUTATIONAL STUDY OF IGNITION BEHAVIOR AND HOTSPOT DYNAMICS OF A POTENTIAL CLASS OF ALUMINIZED EXPLOSIVES","Cyclotetramethylene-Tetranitramine (HMX);",2018,"USA"
"COMPUTATIONAL STUDY OF STRUCTURE AND PERFORMANCE OF FOUR CONSTITUENTS HMX BASED COMPOSITE MATERIAL","Cyclotetramethylene-Tetranitramine (HMX);Nitrocellulose (NC)",2008,"China"
"COMPUTATIONAL STUDY ON ALL POSSIBLE DIAMINO DINITROPYRIMIDINES AND THEIR MONO AND DIOXIDE DERIVATIVES","",2012,"Turkey"
"COMPUTATIONAL STUDY ON THE CRYSTAL STRUCTURE THERMODYNAMIC PROPERTIES DETONATION PERFORMANCE AND PYROLYSIS MECHANISM OF A NOVEL HIGH DENSITY CAGE COMPOUND 10 5 NITRIMINO 1 2 3 4 TETRAZOL 1 YL METHYL 2 4 6 8 12 PENTANITROHEXAAZAISOWURTZITANE","Hexanitrohexaazaisowurtzitane (CL-20);",2013,"China"
"COMPUTER CODE TO PREDICT THE HEAT OF EXPLOSION OF HIGH ENERGY MATERIALS","",2009,"India"
"COMPUTER SIMULATION FOR THE STUDY OF THE LIQUID CHROMATOGRAPHIC SEPARATION OF EXPLOSIVE MOLECULES","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);",2018,"Taiwan"
"COMPUTER SIMULATION OF UNDERGROUND BLAST RESPONSE OF PILE IN SATURATED SOIL","",2013,"Australia"
"COMPUTER SIMULATIONS TO STUDY THE POST IGNITION VIOLENCE OF HMX EXPLOSIVES IN THE STEVEN TEST LLNL CONF 760507",";Cyclotetramethylene-Tetranitramine (HMX)",2018,"USA"
"COMPUTER VISION BASED PORTABLE SYSTEM FOR NITROAROMATICS DISCRIMINATION","1,3,5-Trinitrobenzene (TNB);2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrobenzene (DNB);Dinitrotoluene (DNT);Picric Acid (PA);Tetryl;",2016,"Spain"
"COMPUTER VISIONVS SPECTROFLUOROMETER ASSISTED DETECTION OF COMMON NITRO EXPLOSIVE COMPONENTS WITHBOLA TYPE PAH BASED CHEMOSENSORS","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);",2021,"Russia,Germany"
"CONCENTRATION DEPENDENT RDX UPTAKE AND REMEDIATION BY CROP PLANTS","Cyclotrimethylene-Trinitramine (RDX)",2011,"USA"
"CONCENTRATION OF AMMONIUM AND NITRATE FROM MINE WATER BY REVERSE OSMOSIS AND NANOFILTRATION","Ammonium Nitrate (AN);",2009,"Finland"
"CONCEPT AND APPLICATIONS OF STANDOFF RAMAN SPECTROSCOPY TECHNIQUES","",2020,"India"
"CONCEPT DESIGN OF AN ILLICIT MATERIAL DETECTION SYSTEM","",2014,"Saudi Arabia,Egypt"
"CONCEPT OF A NOVEL FAST NEUTRON IMAGING DETECTOR BASED ON THGEM FOR FAN BEAM TOMOGRAPHY APPLICATIONS","",2012,"Switzerland,Germany"
"CONCOMITANT CRYSTALLIZATION FOR IN SITU ENCAPSULATION OF ORGANIC MATERIALS","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);",2014,"Netherlands"
"CONCURRENT DETERMINATION OF ANIONS AND CATIONS IN CONSUMER FIREWORKS WITH A PORTABLE DUAL CAPILLARY ELECTROPHORESIS SYSTEM","",2014,"Spain,Switzerland"
"CONFIGURATION OF GAMMA DETECTORS IN A NEUTRON INTERROGATION SYSTEM FOR DETECTION OF EXPLOSIVES","Poly(Glycidyl Nitrate) (polyGLYN);",2018,"Iran"
"CONFIRMATION OF THE MOLECULAR STRUCTURE OF TETRAMETHYLENE DIPEROXIDE DICARBAMIDE TMDD AND ITS SENSITIVENESS PROPERTIES","",2015,"Australia"
"CONFOCAL SCANNING LASER MICROSCOPIC STUDY OF THE RDX DEFECT STRUCTURE IN DEFORMED POLYMER BONDED EXPLOSIVES","Cyclotrimethylene-Trinitramine (RDX)",2016,"Netherlands"
"CONJUGATED COVALENT ORGANIC FRAMEWORKS VIA MICHAEL ADDITION ELIMINATION","Triacetone Triperoxide (TATP);",2017,"Canada,Belgium"
"CONJUGATED POLY ARYLENEETHYNYLENESILOLES AND THEIR APPLICATION IN DETECTING EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);Picric Acid (PA);",2012,"China"
"CONJUGATED POLYMER GRAFTED SILICA NANOPARTICLES FOR THE SENSITIVE DETECTION OF TNT","2,4,6-Trinitrotoluene (TNT)",2010,"China"
"CONJUGATED POLYMER NANOPARTICLES BASED FLUORESCENT ELECTRONIC NOSE FOR THE IDENTIFICATION OF VOLATILE COMPOUNDS","",2018,"China"
"CONJUGATED POLYMER SENSORS FOR EXPLOSIVE VAPOR DETECTION","Dinitrobenzene (DNB);",2011,"UK"
"CONJUGATED POLYMERS CONTAINING TETRAPHENYLETHYLENE IN THE BACKBONES AND SIDE CHAINS FOR HIGHLY SENSITIVE TNT DETECTION","2,4,6-Trinitrotoluene (TNT)",2018,"China,Germany"
"CONJUGATED SUPRAMOLECULAR ARCHITECTURES AS STATE OF THE ART MATERIALS IN DETECTION AND REMEDIAL MEASURES OF NITRO BASED COMPOUNDS A REVIEW","",2020,"China,Pakistan"
"CONSIDERATIONS IN THE VAPOR ANALYSIS OF TRADITIONAL VS HOMEMADE EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN);",2017,"USA"
"CONSTRUCTION AND CHARACTERIZATION OF A HIGH FLOW HIGH RESOLUTION ION MOBILITY SPECTROMETER FOR DETECTION OF EXPLOSIVES AFTER PERSONNEL PORTAL SAMPLING","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);",2002,"USA"
"CONSTRUCTION AND EVALUATION OF A FLUORESCENT SENSOR FOR THE DETECTION OF HIGH EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);Nitrotoluene (NT);Tetryl;",2012,"USA"
"CONSTRUCTION OF A DUAL FUNCTION METAL ORGANIC FRAMEWORK DETECTION OF FE3 CU2 NITROAROMATIC EXPLOSIVES AND A HIGH SECOND HARMONIC GENERATION RESPONSE","",2019,"China"
"CONSTRUCTION OF A NANOSCALE YB III SCHIFF BASE COMPLEX WITH NIR LUMINESCENCE RESPONSE TO ANIONS AND NITRO EXPLOSIVES","",2021,"China,USA"
"CONSTRUCTION OF CL 20 SURFACE LAYER WITH DIFFERENT WETTING PROPERTIES AND ITS EFFECT ON SLURRY RHEOLOGICAL BEHAVIOR AND MECHANICAL SENSITIVITIES","Hexanitrohexaazaisowurtzitane (CL-20)",2021,"China"
"CONTACT BETWEEN TRAPS AND SURFACES DURING CONTACT SAMPLING OF EXPLOSIVES IN SECURITY SETTINGS","",2016,"USA"
"CONTACT FREE AND FAST DETECTION OF ENERGETIC MATERIALS IN CONTAINMENTS","Triacetone Triperoxide (TATP);",2021,"Germany"
"CONTACTLESS AND RAPID DISCRIMINATION OF IMPROVISED EXPLOSIVES REALIZED BY MN2 DOPING TAILORED ZNS NANOCRYSTALS","Black Powder;Nitrocellulose (NC);",2016,"China"
"CONTACTLESS CONDUCTIVITY DETECTION FOR MICROFLUIDICS DESIGNS AND APPLICATIONS","",2007,"Japan"
"CONTAMINATION WITH EXPLOSIVES IN ANALYTICAL LABORATORY PROCEDURE","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);",2017,"Poland"
"CONTEMPLATION ON SPARK SENSITIVITY OF CERTAIN NITRAMINE TYPE EXPLOSIVES","",2009,"Turkey"
"CONTINUED DEVELOPMENT OF A PORTABLE WIDEFIELD HYPERSPECTRAL IMAGING HSI SENSOR FOR STANDOFF DETECTION OF EXPLOSIVE CHEMICAL AND NARCOTIC RESIDUES","",2014,"USA"
"CONTINUOUS FORMATION OF SUBMICRON ENERGETIC PARTICLES BY THE FLASH EVAPORATION TECHNIQUE",";2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX)",2012,"France"
"CONTINUOUS MONITORING OF TATP USING ULTRASENSITIVE LOW POWER SENSORS","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX);Triacetone Triperoxide (TATP)",2020,"USA"
"CONTINUOUS SPHEROIDIZATION STRATEGY FOR EXPLOSIVES WITH MICRO NANO HIERARCHICAL STRUCTURE BY COUPLING MICROFLUIDICS AND SPRAY DRYING","Hexanitrostilbene (HNS);",2021,"China"
"CONTINUOUS VAPOR SAMPLING OF VOLATILE ORGANIC COMPOUNDS ASSOCIATED WITH EXPLOSIVES USING CAPILLARY MICROEXTRACTION OF VOLATILES CMV COUPLED TO A PORTABLE GC MS","2,4-Dinitrotoluene (DNT);Dinitrotoluene (DNT);Nitroglycerin (NG);Nitrotoluene (NT);",2021,"USA"
"CONTRIBUTION OF ISOTOPE RATIO MASS SPECTROMETRY TO THE INVESTIGATION OF IMPROVISED EXPLOSIVES ISOTOPIC STUDY OF BLACK POWDERS AND AMMONIUM NITRATES",";Ammonium Nitrate (AN);Black Powder",2010,NA
"CONTROLLABLE FABRICATION OF AG NP DECORATED POROUS ZNO NANOSHEET ARRAYS WITH SUPERHYDROPHOBIC PROPERTIES FOR HIGH PERFORMANCE SERS DETECTION OF EXPLOSIVES","1,1-Diamino-2,2-Dinitroethylene (FOX-7);2,4,6-Trinitrotoluene (TNT);3-Nitro-1,2,4-Triazol-5-One (NTO);Nitrotoluene (NT);",2020,"China"
"CONTROLLED BIOLOGICAL AND BIOMIMETIC SYSTEMS FOR LANDMINE DETECTION","",2007,"Japan"
"CONTROLLED EXPEDIENT DISPOSAL OF EXCESS GUN PROPELLANT","Dinitrotoluene (DNT);Nitroglycerin (NG);",2012,"USA,Canada"
"CONTROLLED FABRICATION OF SILVER NANONEEDLES ARRAY FOR SERS AND THEIR APPLICATION IN RAPID DETECTION OF NARCOTICS","",2012,"China,Japan"
"CONTROLLING THE COARSENING STABILITY OF PENTAERYTHRITOL TETRANITRATE PETN SINGLE CRYSTALS BY THE USE OF WATER","Pentaerythritol Tetranitrate (PETN)",2012,"USA"
"CONVERSION FACTORS FROM COUNTS TO CHEMICAL RATIOS FOR THE EURITRACK TAGGED NEUTRON INSPECTION SYSTEM","",2011,"France,Croatia"
"CONVOLUTIONAL NEURAL NETWORK BASED SIDE ATTACK EXPLOSIVE HAZARD DETECTION IN THREE DIMENSIONAL VOXEL RADAR","",2018,"USA"
"COOKOFF EXPERIMENTS OF A MELT CAST EXPLOSIVE COMP B3","2,4,6-Trinitrotoluene (TNT);Composition B;Cyclotrimethylene-Trinitramine (RDX)",2020,"USA"
"COOKOFF OF POWDERED AND PRESSED EXPLOSIVES USING A MICROMECHANICS PRESSURIZATION MODEL","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);",2022,"USA"
"COOPERATIVE EFFECTS IN THE DETECTION OF A NITROALIPHATIC LIQUID EXPLOSIVE AND AN EXPLOSIVE TAGGANT IN THE VAPOR PHASE BY CALIX 4 ARENE BASED CARBAZOLE CONTAINING CONJUGATED POLYMERS","Nitromethane (NM);",2014,"Portugal"
"COORDINATION POLYMER DERIVED NANO SIZED ZINC FERRITE WITH EXCELLENT PERFORMANCE IN NITRO EXPLOSIVE DETECTION","Picric Acid (PA);",2017,"India"
"COORDINATION POLYMERIZATION OF METAL AZIDES AND POWERFUL NITROGEN RICH LIGAND TOWARD PRIMARY EXPLOSIVES WITH EXCELLENT ENERGETIC PERFORMANCES","",2017,"China"
"COPOLYPEPTIDE DOPED POLYANILINE NANOFIBERS FOR ELECTROCHEMICAL DETECTION OF ULTRATRACE TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",2009,"China"
"COPPER SALTS OF HALO TETRAZOLES LASER IGNITABLE PRIMARY EXPLOSIVES","",2012,"Germany,USA"
"CORE SHELL STRUCTURED NANOENERGETIC MATERIALS PREPARATION AND FUNDAMENTAL PROPERTIES","",2020,"China"
"CORRECTION TO THE EXPLOSIVE TRINITROTOLUENE TNT INDUCES GENE EXPRESSION OF CARBONYL REDUCTASE IN THE BLUE MUSSEL MYTILUS SPP A NEW PROMISING BIOMARKER FOR SEA DUMPED WAR RELICTS ARCHIVES OF TOXICOLOGY 2020 94 12 4043 4054 10 1007 S00204 020 02931 Y","2,4,6-Trinitrotoluene (TNT)",2021,"Germany"
"CORRELATING MECHANICAL SENSITIVITY WITH SPIN TRANSITION IN THE EXPLOSIVE SPIN CROSSOVER COMPLEX FE HTRZ 3 N CLO4 2 N","",2020,"USA"
"CORRELATION AND ANALYSIS OF SMOKELESS POWDER SMOKELESS POWDER RESIDUES AND LAB GENERATED PYROLYSIS PRODUCTS VIA GC MS","2,4-Dinitrotoluene (DNT);Composition I;Dibutyl Phthalate;Dinitrotoluene (DNT);Nitroglycerin (NG);",2021,"USA"
"CORRELATION BETWEEN ENERGY TRANSFER RATE AND ATOMIZATION ENERGY OF SOME TRINITRO AROMATIC EXPLOSIVE MOLECULES","",2008,"China"
"CORRELATION BETWEEN MOLECULAR CHARGE DENSITIES AND SENSITIVITY OF NITROGEN RICH HETEROCYCLIC NITROAZOLE DERIVATIVE EXPLOSIVES","",2019,"Brazil"
"CORRELATION BETWEEN STRUCTURE AND ENERGETIC PROPERTIES OF THREE NITROAROMATIC COMPOUNDS BIS 2 4 DINITROPHENYL ETHER BIS 2 4 6 TRINITROPHENYL ETHER AND BIS 2 4 6 TRINITROPHENYL THIOETHER","",2019,"Germany"
"CORRELATION BETWEEN THE BOND DISSOCIATION ENERGIES AND IMPACT SENSITIVITIES IN NITRAMINE AND POLYNITRO BENZOATE MOLECULES WITH POLYNITRO ALKYL GROUPINGS","",2008,"China"
"CORRELATIONS BETWEEN LASER INDUCED BREAKDOWN SPECTROSCOPY LIBS AND DYNAMICAL MECHANICAL ANALYSIS DMA FOR ASSESSMENT OF AGING EFFECT ON PLASTIC BONDED EXPLOSIVES PBX","",2019,"Iran"
"COST EFFECTIVE NANOSTRUCTURED COPPER SUBSTRATES PREPARED WITH ULTRAFAST LASER PULSES FOR EXPLOSIVES DETECTION USING SURFACE ENHANCED RAMAN SCATTERING","2,4,6-Trinitrotoluene (TNT);",2014,"India"
"COUNTER IED STRATEGY IN MODERN WAR","",2012,NA
"COUNTERTERRORIST DETECTION TECHNIQUES OF EXPLOSIVES","",2021,"USA"
"COUNTING INDIVIDUAL IONS IN THE AIR BY TAGGING THEM WITH PARTICLES","",2017,"UK"
"COUPLED PHASE TRANSFORMATION CHEMICAL DECOMPOSITION AND DEFORMATION IN PLASTIC BONDED EXPLOSIVE MODELS","Cyclotetramethylene-Tetranitramine (HMX);",2007,"USA"
"COUPLED PHASE TRANSFORMATION CHEMICAL DECOMPOSITION AND DEFORMATION IN PLASTIC BONDED EXPLOSIVE SIMULATIONSS","",2007,"USA"
