"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Joas M.; Klapötke T.M.; Stierstorfer J.; Szimhardt N.","Joas, Manuel (55587907400); Klapötke, Thomas M. (7102225410); Stierstorfer, Jörg (22956620000); Szimhardt, Norbert (55764562900)","55587907400; 7102225410; 22956620000; 55764562900","Synthesis and characterization of various photosensitive copper(II) complexes with 5-(1-methylhydrazinyl)-1H-tetrazole as ligand and perchlorate, nitrate, dinitramide, and chloride as anions","2013","Chemistry - A European Journal","19","30","","9995","10003","8","46","10.1002/chem.201300688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880258403&doi=10.1002%2fchem.201300688&partnerID=40&md5=32fa202a2b827c5d651291c44e1cb7bf","Article","Final","","Scopus","2-s2.0-84880258403"
"Li Z.-M.; Zhang J.-G.; Yang W.; Sun M.; Zhang T.-L.","Li, Zhi-Min (56465281900); Zhang, Jian-Guo (57300080700); Yang, Wei (57198593661); Sun, Mou (58812440100); Zhang, Tong-Lai (55798205800)","56465281900; 57300080700; 57198593661; 58812440100; 55798205800","Synthesis and structural characterization of a new 1D polymeric energetic complex [Hg(DAT)Cl2]n (DAT = 1,5-diaminotetrazole)","2013","Jiegou Huaxue","32","5","","653","658","5","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878326431&partnerID=40&md5=602a7fe85899a3e03ba9b6f9851b4c2f","Article","Final","","Scopus","2-s2.0-84878326431"
"Fu Z.-D.; Wang Y.; Li J.-S.; Chen F.-X.","Fu, Zhan-Da (37067176000); Wang, Yang (56060573900); Li, Jin-Shan (8724861300); Chen, Fu-Xue (7404906845)","37067176000; 56060573900; 8724861300; 7404906845","Synthesis and thermal decomposition of new energetic materials NONHT and NONsHT","2013","Binggong Xuebao/Acta Armamentarii","34","2","","235","239","4","3","10.3969/j.issn.1000-1093.2013.02.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875580090&doi=10.3969%2fj.issn.1000-1093.2013.02.017&partnerID=40&md5=03d69db36ae1f2dabbb90142a7866cd0","Article","Final","","Scopus","2-s2.0-84875580090"
"Xiaohong L.; Ruizhou Z.; Xianzhou Z.","Xiaohong, Li (14039752700); Ruizhou, Zhang (36198811200); Xianzhou, Zhang (6504716316)","14039752700; 36198811200; 6504716316","Computational investigation of the heat of formation, detonation properties of furazan-based energetic materials","2013","Structural Chemistry","24","4","","1193","1200","7","18","10.1007/s11224-012-0147-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880738945&doi=10.1007%2fs11224-012-0147-3&partnerID=40&md5=f5746beb1c77a53ff0289a95c27e6e55","Article","Final","","Scopus","2-s2.0-84880738945"
"Collins E.; Pantoya M.; Vijayasai A.; Dallas T.","Collins, Eric (37010295600); Pantoya, Michelle (6603057402); Vijayasai, Ashwin (36621586400); Dallas, Tim (6601983528)","37010295600; 6603057402; 36621586400; 6601983528","Comparison of engineered nanocoatings on the combustion of aluminum and copper oxide nanothermites","2013","Surface and Coatings Technology","215","","","476","484","8","24","10.1016/j.surfcoat.2012.07.094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872675919&doi=10.1016%2fj.surfcoat.2012.07.094&partnerID=40&md5=d134e028daaefce57ffb7bb3ad5899b8","Article","Final","","Scopus","2-s2.0-84872675919"
"Dai L.; Cui S.; Damu G.L.V.; Zhou C.","Dai, Lingling (55211823800); Cui, Shengfeng (55211812000); Damu, G.L.V. (12042522600); Zhou, Chenghe (7403347282)","55211823800; 55211812000; 12042522600; 7403347282","Recent advances in the synthesis and application of tetrazoles","2013","Chinese Journal of Organic Chemistry","33","2","","224","244","20","43","10.6023/cjoc201208036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876302151&doi=10.6023%2fcjoc201208036&partnerID=40&md5=b187959a9c53a34e01abe90c590d51ae","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84876302151"
"Sullivan K.T.; Wu C.; Piekiel N.W.; Gaskell K.; Zachariah M.R.","Sullivan, Kyle T. (25722345800); Wu, Chunwei (15849785200); Piekiel, Nicholas W. (25638814000); Gaskell, Karen (6603373155); Zachariah, Michael R. (7007024345)","25722345800; 15849785200; 25638814000; 6603373155; 7007024345","Synthesis and reactivity of nano-Ag2O as an oxidizer for energetic systems yielding antimicrobial products","2013","Combustion and Flame","160","2","","438","446","8","92","10.1016/j.combustflame.2012.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871924527&doi=10.1016%2fj.combustflame.2012.09.011&partnerID=40&md5=aefbbb5f527e3d5c28a14139a059ef58","Article","Final","","Scopus","2-s2.0-84871924527"
"Keshavarz M.H.; Motamedoshariati H.; Moghayadnia R.; Ghanbarzadeh M.; Azarniamehraban J.","Keshavarz, Mohammad H. (6603541399); Motamedoshariati, Hadi (16417339500); Moghayadnia, Reza (35574517000); Ghanbarzadeh, Majid (42561230400); Azarniamehraban, Jamshid (6504769161)","6603541399; 16417339500; 35574517000; 42561230400; 6504769161","A new computer code for assessment of energetic materials with crystal density, condensed phase enthalpy of formation, and activation energy of thermolysis","2013","Propellants, Explosives, Pyrotechnics","38","1","","95","102","7","42","10.1002/prep.201100156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874066177&doi=10.1002%2fprep.201100156&partnerID=40&md5=97131ef5f0f825f507013faad0763a5f","Article","Final","","Scopus","2-s2.0-84874066177"
"Guo C.; Zhang H.; Wang X.; Xu J.; Liu Y.; Liu X.; Huang H.; Sun J.","Guo, Changyan (57195718848); Zhang, Haobin (36700642100); Wang, Xiaochuan (55736906700); Xu, Jinjiang (55237847600); Liu, Yu (27171434100); Liu, Xiaofeng (36084597300); Huang, Hui (56290102600); Sun, Jie (55716316600)","57195718848; 36700642100; 55736906700; 55237847600; 27171434100; 36084597300; 56290102600; 55716316600","Crystal structure and explosive performance of a new CL-20/caprolactam cocrystal","2013","Journal of Molecular Structure","1048","","","267","273","6","111","10.1016/j.molstruc.2013.05.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879480980&doi=10.1016%2fj.molstruc.2013.05.025&partnerID=40&md5=e833b39c530caaeb81d6523580ef6d24","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84879480980"
"Hung-Low F.; Peterson G.R.; Hope-Weeks L.J.","Hung-Low, Fernando (8873199300); Peterson, Geneva R. (15761035300); Hope-Weeks, Louisa J. (35518176900)","8873199300; 15761035300; 35518176900","Controllable thermal degradation of 2,4,6-trinitrotoluene (TNT) by absorption and confinement into mixed metal sponges","2013","Journal of Thermal Analysis and Calorimetry","113","2","","475","480","5","2","10.1007/s10973-013-3049-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880509092&doi=10.1007%2fs10973-013-3049-8&partnerID=40&md5=44c852b49df8752ca9e1407348f496af","Conference paper","Final","","Scopus","2-s2.0-84880509092"
"Hua C.; Wenhui T.; Xianwen R.; Binbin X.; Zhihong X.","Hua, Chen (7501624953); Wenhui, Tang (36715669100); Xianwen, Ran (55589352900); Binbin, Xu (6503902418); Zhihong, Xu (56112824800)","7501624953; 36715669100; 55589352900; 6503902418; 56112824800","Experimental study on the interaction between femtosecond laser and energetic materials","2013","Advanced Materials Research","651","","","458","461","3","3","10.4028/www.scientific.net/AMR.651.458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873723281&doi=10.4028%2fwww.scientific.net%2fAMR.651.458&partnerID=40&md5=58a8a83af60d9d7d25a691b0a93b7fd4","Conference paper","Final","","Scopus","2-s2.0-84873723281"
"Mehrkesh A.; Karunanithi A.T.","Mehrkesh, Amirhossein (35746323800); Karunanithi, Arunprakash T. (8576998200)","35746323800; 8576998200","Energetic ionic materials: How green are they? A comparative life cycle assessment study","2013","ACS Sustainable Chemistry and Engineering","1","4","","448","455","7","43","10.1021/sc3001383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884213377&doi=10.1021%2fsc3001383&partnerID=40&md5=e49be75f006725fffedc80e3f2fc3c89","Article","Final","","Scopus","2-s2.0-84884213377"
"Zhao X.; Liu Z.","Zhao, Xiaofeng (55347333000); Liu, Zuliang (55643857500)","55347333000; 55643857500","An improved synthesis of 2,6-diamino-3,5-dinitropyrazine-1-oxide","2013","Journal of Chemical Research","37","7","","425","426","1","10","10.3184/174751913X13718095951814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883041642&doi=10.3184%2f174751913X13718095951814&partnerID=40&md5=b77226342b499436717b5f4a373c6b01","Short survey","Final","","Scopus","2-s2.0-84883041642"
"Li Z.-M.; Zhang T.-L.; Zhang G.-T.; Yang L.; Zhou Z.-N.; Zhang J.-G.","Li, Zhi-Min (56465281900); Zhang, Tong-Lai (55798205800); Zhang, Guo-Tao (57213770319); Yang, Li (57004031600); Zhou, Zun-Ning (37007993100); Zhang, Jian-Guo (57300080700)","56465281900; 55798205800; 57213770319; 57004031600; 37007993100; 57300080700","Synthesis, structure and thermal behaviors of a magnesium(II) complex with tetrazole-1-acetic acid","2013","Jiegou Huaxue","32","7","","981","988","7","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880077722&partnerID=40&md5=74f960bfc88e31e88f6aeb6700908b3f","Article","Final","","Scopus","2-s2.0-84880077722"
"Weir C.; Pantoya M.L.; Ramachandran G.; Dallas T.; Prentice D.; Daniels M.","Weir, Chelsea (55414257000); Pantoya, Michelle L. (6603057402); Ramachandran, Gautham (55138604600); Dallas, Tim (6601983528); Prentice, Daniel (9239146900); Daniels, Michael (35487116300)","55414257000; 6603057402; 55138604600; 6601983528; 9239146900; 35487116300","Electrostatic discharge sensitivity and electrical conductivity of composite energetic materials","2013","Journal of Electrostatics","71","1","","77","83","6","33","10.1016/j.elstat.2012.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871783502&doi=10.1016%2fj.elstat.2012.10.002&partnerID=40&md5=7882996270c3edd10b22717ca49e0ce6","Article","Final","","Scopus","2-s2.0-84871783502"
"Bi Y.-G.; Qiu S.-J.; Zhao F.-Q.; Zhou Z.-N.; Yang L.; Zhang T.-L.; Zhang J.-G.","Bi, Yan-Gang (55611816800); Qiu, Shao-Jun (12786501900); Zhao, Feng-Qi (36041628300); Zhou, Zun-Ning (37007993100); Yang, Li (57004031600); Zhang, Tong-Lai (55798205800); Zhang, Jian-Guo (57300080700)","55611816800; 12786501900; 36041628300; 37007993100; 57004031600; 55798205800; 57300080700","Progress of research on nano aluminum cluster complexes","2012","Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","35","6","","1","6","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874487757&partnerID=40&md5=48a1b4ed4a41e9ecbe6cfda3cb8a0d2b","Article","Final","","Scopus","2-s2.0-84874487757"
"Liu X.-B.; Zhang G.-Q.","Liu, Xiao-Bo (55710982300); Zhang, Guang-Quan (55738890900)","55710982300; 55738890900","A brief summary of occident insensitive munitions technologies","2012","Binggong Xuebao/Acta Armamentarii","33","SUPPL2","","428","433","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877899864&partnerID=40&md5=81b5d89453b17fef2234ba67bb8cb66e","Article","Final","","Scopus","2-s2.0-84877899864"
"Yuen W.; Johnsen D.L.; Koloutsou-Vakakis S.; Rood M.J.; Kim B.J.; Kemme M.R.","Yuen, Wangki (36698537100); Johnsen, David L. (36026534100); Koloutsou-Vakakis, Sotiria (6602607774); Rood, Mark J. (7006686902); Kim, Byung J. (35210971400); Kemme, Michael R. (13407939200)","36698537100; 36026534100; 6602607774; 7006686902; 35210971400; 13407939200","Open burning and open detonation PM10 mass emission factor measurements with optical remote sensing","2012","Proceedings of the Air and Waste Management Association's Annual Conference and Exhibition, AWMA","2","","","1761","1771","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876166529&partnerID=40&md5=db64c2969748c2a080635f804ca2c285","Conference paper","Final","","Scopus","2-s2.0-84876166529"
"Walls K.; Littlefield D.; Dorgan R.; Lambert D.","Walls, Kenneth (57197041916); Littlefield, David (6701335799); Dorgan, Robert (36714978100); Lambert, David (55085227500)","57197041916; 6701335799; 36714978100; 55085227500","An optimization framework for calibration of material models","2013","Procedia Engineering","58","","","279","288","9","7","10.1016/j.proeng.2013.05.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891680837&doi=10.1016%2fj.proeng.2013.05.032&partnerID=40&md5=ae9d9304a270bf36fab2aa6ceda2e0d7","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84891680837"
"Aydelotte B.B.; Thadhani N.N.","Aydelotte, B.B. (23003314800); Thadhani, N.N. (7004498317)","23003314800; 7004498317","Mechanistic aspects of impact initiated reactions in explosively consolidated metal+aluminum powder mixtures","2013","Materials Science and Engineering: A","570","","","164","171","7","38","10.1016/j.msea.2013.01.054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874398538&doi=10.1016%2fj.msea.2013.01.054&partnerID=40&md5=1aa4f6cfca0365ffb1d5a68dd269a410","Article","Final","","Scopus","2-s2.0-84874398538"
"Izsák D.; Klapötke T.M.; Reuter S.; Rösener T.","Izsák, Dániel (54795356100); Klapötke, Thomas M. (7102225410); Reuter, Stephan (55747372800); Rösener, Thomas (55654575400)","54795356100; 7102225410; 55747372800; 55654575400","Silver salt and derivatives of 5-azido-1H-1, 2, 4-triazole-3-carbonitrile","2013","Zeitschrift fur Anorganische und Allgemeine Chemie","639","6","","899","905","6","15","10.1002/zaac.201300022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878179699&doi=10.1002%2fzaac.201300022&partnerID=40&md5=8a9e5288efa1d3e88cdba65f6e6703ed","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84878179699"
"Zhang X.-Y.; Chi Y.; Huang M.; Wang J.","Zhang, Xiao-Yu (59072455600); Chi, Yu (16063349600); Huang, Ming (55568050500); Wang, Jun (57200017339)","59072455600; 16063349600; 55568050500; 57200017339","Synthesis, crystal structure and thermodynamic properties of 1-methyl-2,4-dinitroimidazole","2012","Binggong Xuebao/Acta Armamentarii","33","SUPPL2","","120","125","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877903967&partnerID=40&md5=604faed5b93cd919dcc71aafde7f5ef8","Article","Final","","Scopus","2-s2.0-84877903967"
"Barua A.; Kim S.P.; Horie Y.; Zhou M.","Barua, Ananda (37860959400); Kim, Seok Pum (44161252600); Horie, Yuki (35218964200); Zhou, Min (55223785600)","37860959400; 44161252600; 35218964200; 55223785600","Computational analysis of ignition in heterogeneous energetic materials","2013","Materials Science Forum","767","","","13","21","8","11","10.4028/www.scientific.net/MSF.767.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882936232&doi=10.4028%2fwww.scientific.net%2fMSF.767.13&partnerID=40&md5=a7ba2b4b55426de6c71bf142685723c3","Conference paper","Final","","Scopus","2-s2.0-84882936232"
"Wang D.-L.; Nie S.-Y.; Lu Z.-H.; Li S.-B.","Wang, Dong-Lei (55643169100); Nie, Shao-Yun (55258792900); Lu, Zhong-Hua (56158845700); Li, Shang-Bin (12141531700)","55643169100; 55258792900; 56158845700; 12141531700","Research on the clustering of complex energetic material formulation","2012","Binggong Xuebao/Acta Armamentarii","33","SUPPL2","","160","163","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877896063&partnerID=40&md5=7bc5c044ac757e97d248acaad3668967","Article","Final","","Scopus","2-s2.0-84877896063"
"Ma C.-M.; Liu Z.-L.; Yao Q.-Z.","Ma, Cong-Ming (55643218400); Liu, Zu-Liang (55643857500); Yao, Qi-Zheng (23026104800)","55643218400; 55643857500; 23026104800","Progress in synthesis of 2, 4, 6-trinitro-2, 4, 6-triazacyclohexanone","2013","Hanneng Cailiao/Chinese Journal of Energetic Materials","21","1","","126","130","4","1","10.3969/j.issn.1006-9941.2013.01.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875893933&doi=10.3969%2fj.issn.1006-9941.2013.01.026&partnerID=40&md5=52735544c4f2ee460a01f1ae5ded51fa","Review","Final","","Scopus","2-s2.0-84875893933"
"Kim T.K.; Lee B.W.; Lee H.W.; Chung K.-H.; Kim J.S.","Kim, Tae Keun (55769931300); Lee, Byung Woo (55770339000); Lee, Hai Whang (55663401800); Chung, Kyoo-Hyun (7404085736); Kim, Jin Seuk (35361916600)","55769931300; 55770339000; 55663401800; 7404085736; 35361916600","Synthesis and characterization of bisimidazolylfuroxan derivatives","2013","Bulletin of the Korean Chemical Society","34","6","","1864","1866","2","4","10.5012/bkcs.2013.34.6.1864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879212817&doi=10.5012%2fbkcs.2013.34.6.1864&partnerID=40&md5=8ff94f0351df2800fb90ecea96dff2b1","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84879212817"
"Jin M.-M.; Luo Y.-J.","Jin, Miao-Miao (55611620200); Luo, Yun-Jun (7404332725)","55611620200; 7404332725","Preparation and characterization of NC/Al nano-composite energetic materials","2013","Hanneng Cailiao/Chinese Journal of Energetic Materials","21","2","","230","234","4","9","10.3969/j.issn.1006-9941.2013.02.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878752338&doi=10.3969%2fj.issn.1006-9941.2013.02.015&partnerID=40&md5=afe815e54bdb067f33a9001242d20fb9","Article","Final","","Scopus","2-s2.0-84878752338"
"Pang W.-Q.; Xu H.-X.; Liao L.-Q.; Shi X.-B.; Li Y.; Li Y.-H.; Wang X.-F.","Pang, Wei-Qiang (8445817800); Xu, Hui-Xiang (14326214900); Liao, Lin-Quan (35292814400); Shi, Xiao-Bing (23993148200); Li, Yang (56342765900); Li, Yong-Hong (56008012100); Wang, Xiao-Fei (55323485300)","8445817800; 14326214900; 35292814400; 23993148200; 56342765900; 56008012100; 55323485300","Compatibility of high energetic boron-hydrogen incendiary agent with some common components in solid propellant by means of DSC method","2013","Guti Huojian Jishu/Journal of Solid Rocket Technology","36","1","","67","72+78","","3","10.7673/j.issn.1006-2793.2013.01.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876093852&doi=10.7673%2fj.issn.1006-2793.2013.01.013&partnerID=40&md5=1b03f1f19b34537c4764931aaaba0ed4","Article","Final","","Scopus","2-s2.0-84876093852"
"Trache D.; Khimeche K.; Benelmir R.; Dahmani A.","Trache, Djalal (55008987800); Khimeche, Kamel (12799558100); Benelmir, Riad (6603473236); Dahmani, Abdallah (6701410618)","55008987800; 12799558100; 6603473236; 6701410618","DSC measurement and prediction of phase diagrams for binary mixtures of energetic materials' stabilizers","2013","Thermochimica Acta","565","","","8","16","8","35","10.1016/j.tca.2013.04.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878221270&doi=10.1016%2fj.tca.2013.04.021&partnerID=40&md5=14c8c0684b8bb93408610799b375c90a","Article","Final","","Scopus","2-s2.0-84878221270"
"Pickles A.J.; Steer M.B.","Pickles, Austin J. (56682151700); Steer, Michael B. (7103146832)","56682151700; 7103146832","Effective permittivity of 3-d periodic composites with regular and irregular inclusions","2013","IEEE Access","1","","6584730","523","536","13","10","10.1109/ACCESS.2013.2279356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923318304&doi=10.1109%2fACCESS.2013.2279356&partnerID=40&md5=236494a9f863fbc832776beaa3c42fe5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84923318304"
"Rider K.B.; Little B.K.; Emery S.B.; Lindsay C.M.","Rider, Keith B. (7004378450); Little, Brian K. (55582061400); Emery, Samuel B. (7005789558); Lindsay, C. Michael (8329943300)","7004378450; 55582061400; 7005789558; 8329943300","Thermal analysis of magnesium/perfluoropolyether pyrolants","2013","Propellants, Explosives, Pyrotechnics","38","3","","433","440","7","23","10.1002/prep.201200118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878917895&doi=10.1002%2fprep.201200118&partnerID=40&md5=8b97c2ebbe11dd8c9066af99bfce35e9","Article","Final","","Scopus","2-s2.0-84878917895"
"Deschamps J.R.; Cannizzo L.F.; Straessler N.A.","Deschamps, Jeffrey R. (7102569818); Cannizzo, Louis F. (57224599189); Straessler, Nicholas A. (6505680609)","7102569818; 57224599189; 6505680609","Structure of 1-tert-butyl-3-hydroxymethyl-3-nitroazetidine and 1-bromoacetyl-3,3-dinitroazetidine, an investigative anticancer agent derived from energetic materials","2013","Journal of Chemical Crystallography","43","6","","306","309","3","2","10.1007/s10870-013-0421-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878653297&doi=10.1007%2fs10870-013-0421-2&partnerID=40&md5=ff5fd0710f343f27213f9041e3f66e8e","Article","Final","","Scopus","2-s2.0-84878653297"
"Hou K.-H.; Liu Z.-L.; Zhang H.-Y.; Cheng J.","Hou, Ke-Hui (55323213700); Liu, Zu-Liang (55643857500); Zhang, Hua-Yan (55323474000); Cheng, Jian (55583318200)","55323213700; 55643857500; 55323474000; 55583318200","Synthesis and performance of ammonium 2, 4, 5-trinitroimidazole","2013","Hanneng Cailiao/Chinese Journal of Energetic Materials","21","1","","16","18","2","3","10.3969/j.issn.1006-9941.2013.01.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875910283&doi=10.3969%2fj.issn.1006-9941.2013.01.004&partnerID=40&md5=55eb288be4a783e522ca158fcc3b5722","Article","Final","","Scopus","2-s2.0-84875910283"
"Guozheng Z.; Ming L.","Guozheng, Zhao (57224902680); Ming, Lu (56233529100)","57224902680; 56233529100","Theoretical Studies on 4-amino-3,5-dinitropyrazole and Its Analogues","2013","Journal of Energetic Materials","31","1","","60","71","11","8","10.1080/07370652.2011.601529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863911658&doi=10.1080%2f07370652.2011.601529&partnerID=40&md5=15e4d82fea8d839d6a8d0d5ae42f74b1","Article","Final","","Scopus","2-s2.0-84863911658"
"Sadeghipour S.; Ghaderian J.; Wahid M.A.","Sadeghipour, S. (57214802271); Ghaderian, J. (55608030000); Wahid, M.A. (36119480100)","57214802271; 55608030000; 36119480100","Advances in aluminum powder usage as an energetic material and applications for rocket propellant","2012","AIP Conference Proceedings","1440","","","100","108","8","17","10.1063/1.4704207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874404419&doi=10.1063%2f1.4704207&partnerID=40&md5=417ee42af44fb5eef56aa535b0c3e09a","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84874404419"
"Jadhav P.M.; Sarangapani R.; Ghule V.D.; Prasanth H.; Pandey R.K.","Jadhav, Pandurang M. (35317945500); Sarangapani, Radhakrishnan (36169569000); Ghule, Vikas D. (35317445200); Prasanth, Hima (11340194900); Pandey, Raj Kishore (7401527672)","35317945500; 36169569000; 35317445200; 11340194900; 7401527672","Quantum-chemical studies on thermodynamic feasibility of 1-methyl-2,4,5-trinitroimidazole processes","2013","Journal of Molecular Modeling","19","8","","3027","3033","6","9","10.1007/s00894-013-1837-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880832903&doi=10.1007%2fs00894-013-1837-5&partnerID=40&md5=18ed650c81806335f80e61406d21b9e0","Article","Final","","Scopus","2-s2.0-84880832903"
"Fradkin E.G.; Gany A.","Fradkin, Evgenia Golda (55372576400); Gany, Alon (7003920754)","55372576400; 7003920754","Investigation of nanoporous silicon-based energetic materials","2012","International Journal of Energetic Materials and Chemical Propulsion","11","2","","135","148","13","3","10.1615/IntJEnergeticMaterialsChemProp.2012005344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874011520&doi=10.1615%2fIntJEnergeticMaterialsChemProp.2012005344&partnerID=40&md5=66ad4ce5202e6cbb1fe629bfb1490df7","Article","Final","","Scopus","2-s2.0-84874011520"
"Weismiller M.R.; Russo M.F., Jr.; Van Duin A.C.T.; Yetter R.A.","Weismiller, M.R. (26322051200); Russo, M.F. (57219896627); Van Duin, A.C.T. (7004035944); Yetter, R.A. (13310382800)","26322051200; 57219896627; 7004035944; 13310382800","Using molecular dynamics simulations with a ReaxFF reactive force field to develop a kinetic mechanism for ammonia borane oxidation","2013","Proceedings of the Combustion Institute","34","2","","3489","3497","8","18","10.1016/j.proci.2012.06.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872048523&doi=10.1016%2fj.proci.2012.06.030&partnerID=40&md5=9172ed227e80859a0288fc23393fab5d","Article","Final","","Scopus","2-s2.0-84872048523"
"Fischer N.; Izsák D.; Klapötke T.M.; Stierstorfer J.","Fischer, Niko (22960805800); Izsák, Dániel (54795356100); Klapötke, Thomas M. (7102225410); Stierstorfer, Jörg (22956620000)","22960805800; 54795356100; 7102225410; 22956620000","The chemistry of 5-(tetrazol-1-yl)-2H-tetrazole: An extensive study of structural and energetic properties","2013","Chemistry - A European Journal","19","27","","8948","8957","9","79","10.1002/chem.201300691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879419769&doi=10.1002%2fchem.201300691&partnerID=40&md5=070a8c87fe64060d3d587920ad8c394e","Article","Final","","Scopus","2-s2.0-84879419769"
"Jung J.-W.; Lee G.; Im S.; Nam K.","Jung, Jae-Woong (57199983955); Lee, Gwanghun (52063643600); Im, Sangsoon (55647089400); Nam, Kyoungphile (55665343400)","57199983955; 52063643600; 55647089400; 55665343400","Human Health Risk Assessment of a Civilian-Accessible Active Firing Range","2013","Human and Ecological Risk Assessment","19","3","","807","818","11","6","10.1080/10807039.2012.708292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876002914&doi=10.1080%2f10807039.2012.708292&partnerID=40&md5=71ee36e8f5d9a80e721e017e7781c37c","Article","Final","","Scopus","2-s2.0-84876002914"
"Jia K.; Liu Z.-L.; Hou K.-H.","Jia, Kai (55759391500); Liu, Zu-Liang (55643857500); Hou, Ke-Hui (55323213700)","55759391500; 55643857500; 55323213700","Synthesis and thermal behavior of 2-( 2, 4, 6-trinitro)phenylamino-4-nitroimidazole","2013","Hanneng Cailiao/Chinese Journal of Energetic Materials","21","2","","276","277","1","1","10.3969/j.issn.1006-9941.2013.02.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878748353&doi=10.3969%2fj.issn.1006-9941.2013.02.025&partnerID=40&md5=faa92d032b3b133b7162220a3e35b04e","Article","Final","","Scopus","2-s2.0-84878748353"
"Jiang Z.-H.; Han C.-J.; Zhou Y.; Ma Y.-J.; Yang G.-C.; Pei C.-H.","Jiang, Zhi-Hang (55611475800); Han, Chao-Jiang (37112132100); Zhou, Yong (55171168300); Ma, Yong-Jun (55687240300); Yang, Guang-Cheng (11641266300); Pei, Chong-Hua (35307762800)","55611475800; 37112132100; 55171168300; 55687240300; 11641266300; 35307762800","Preparation of nanoporous silicon and study on its properties","2012","Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","35","6","","98","103","5","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874500673&partnerID=40&md5=7572ae05d0e4f85a136f6864f1f4c6f7","Article","Final","","Scopus","2-s2.0-84874500673"
"Liu R.; Zhou Z.; Qi S.; Yang L.; Wu B.; Huang H.; Zhang T.","Liu, Rui (57225186907); Zhou, Zunning (37007993100); Qi, Shuyuan (34979344000); Yang, Li (57004031600); Wu, Bidong (55146332200); Huang, Huisheng (55503555900); Zhang, Tonglai (55798205800)","57225186907; 37007993100; 34979344000; 57004031600; 55146332200; 55503555900; 55798205800","Synthesis, crystal structure, and properties of a novel, highly sensitive energetic, coordination compound: Iron (II) carbohydrazide perchlorate","2013","Central European Journal of Energetic Materials","10","1","","17","36","19","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880356470&partnerID=40&md5=304f9fc812bdc64f5ba2bf2722b2a57a","Article","Final","","Scopus","2-s2.0-84880356470"
